,no-fight,fight,rate,model
0,0.5,0.0,0.1,bernoulliNB
1,0.588,1.0,0.1,svm_poly
2,0.559,0.833,0.1,decision_tree
3,0.588,1.0,0.1,sgd_05
4,0.526,1.0,0.1,randomforest
5,0.588,1.0,0.1,balanced_bag
6,0.588,1.0,0.1,bag_id3
7,0.514,0.667,0.1,adaboost
8,0.588,1.0,0.1,xgboost
9,0.586,0.727,0.1,knn_n1
10,1.0,0.667,0.1,knn_n17
11,0.526,1.0,0.2,bernoulliNB
12,0.704,0.923,0.2,svm_poly
13,0.545,0.714,0.2,decision_tree
14,0.679,0.917,0.2,sgd_05
15,0.625,1.0,0.2,randomforest
16,0.704,0.923,0.2,balanced_bag
17,0.625,1.0,0.2,bag_id3
18,0.543,0.8,0.2,adaboost
19,0.625,1.0,0.2,xgboost
20,0.609,0.647,0.2,knn_n1
21,1.0,0.606,0.2,knn_n17
22,0.556,1.0,0.3,bernoulliNB
23,0.731,0.929,0.3,svm_poly
24,0.529,0.667,0.3,decision_tree
25,0.731,0.929,0.3,sgd_05
26,0.69,1.0,0.3,randomforest
27,0.714,1.0,0.3,balanced_bag
28,0.588,1.0,0.3,bag_id3
29,0.545,0.714,0.3,adaboost
30,0.76,0.933,0.3,xgboost
31,0.762,0.789,0.3,knn_n1
32,1.0,0.645,0.3,knn_n17
33,0.581,0.778,0.4,bernoulliNB
34,0.792,0.938,0.4,svm_poly
35,0.63,0.769,0.4,decision_tree
36,0.76,0.933,0.4,sgd_05
37,0.655,0.909,0.4,randomforest
38,0.704,0.923,0.4,balanced_bag
39,0.679,0.917,0.4,bag_id3
40,0.613,0.889,0.4,adaboost
41,0.72,0.867,0.4,xgboost
42,0.714,0.737,0.4,knn_n1
43,1.0,0.69,0.4,knn_n17
44,0.6,0.8,0.5,bernoulliNB
45,0.826,0.941,0.5,svm_poly
46,0.8,1.0,0.5,decision_tree
47,0.679,0.917,0.5,sgd_05
48,0.714,1.0,0.5,randomforest
49,0.704,0.923,0.5,balanced_bag
50,0.741,1.0,0.5,bag_id3
51,0.731,0.929,0.5,adaboost
52,0.704,0.923,0.5,xgboost
53,0.75,0.75,0.5,knn_n1
54,1.0,0.69,0.5,knn_n17
55,0.654,0.786,0.6,bernoulliNB
56,0.792,0.938,0.6,svm_poly
57,0.636,0.667,0.6,decision_tree
58,0.792,0.938,0.6,sgd_05
59,0.769,1.0,0.6,randomforest
60,0.769,1.0,0.6,balanced_bag
61,0.75,0.875,0.6,bag_id3
62,0.727,0.778,0.6,adaboost
63,0.75,0.875,0.6,xgboost
64,0.75,0.75,0.6,knn_n1
65,0.929,0.731,0.6,knn_n17
66,0.731,0.929,0.7,bernoulliNB
67,0.864,0.944,0.7,svm_poly
68,0.667,0.846,0.7,decision_tree
69,0.792,0.938,0.7,sgd_05
70,0.769,1.0,0.7,randomforest
71,0.714,1.0,0.7,balanced_bag
72,0.8,1.0,0.7,bag_id3
73,0.679,0.917,0.7,adaboost
74,0.76,0.933,0.7,xgboost
75,0.789,0.762,0.7,knn_n1
76,0.933,0.76,0.7,knn_n17
77,0.783,0.882,0.8,bernoulliNB
78,0.905,0.947,0.8,svm_poly
79,0.64,0.733,0.8,decision_tree
80,0.704,0.923,0.8,sgd_05
81,0.741,1.0,0.8,randomforest
82,0.692,0.857,0.8,balanced_bag
83,0.731,0.929,0.8,bag_id3
84,0.667,0.636,0.8,adaboost
85,0.731,0.929,0.8,xgboost
86,0.812,0.708,0.8,knn_n1
87,0.941,0.826,0.8,knn_n17
88,0.792,0.938,0.9,bernoulliNB
89,0.857,0.895,0.9,svm_poly
90,0.72,0.867,0.9,decision_tree
91,0.875,0.75,0.9,sgd_05
92,0.783,0.882,0.9,randomforest
93,0.679,0.917,0.9,balanced_bag
94,0.731,0.929,0.9,bag_id3
95,0.696,0.765,0.9,adaboost
96,0.783,0.882,0.9,xgboost
97,0.812,0.708,0.9,knn_n1
98,0.824,0.739,0.9,knn_n17
99,0.75,0.875,1.0,bernoulliNB
100,0.857,0.895,1.0,svm_poly
101,0.7,0.7,1.0,decision_tree
102,0.889,0.818,1.0,sgd_05
103,0.818,0.889,1.0,randomforest
104,0.75,0.875,1.0,balanced_bag
105,0.769,1.0,1.0,bag_id3
106,0.682,0.722,1.0,adaboost
107,0.773,0.833,1.0,xgboost
108,0.875,0.75,1.0,knn_n1
109,0.81,0.842,1.0,knn_n17
