,no-fight,fight,rate,model
0,1.0,0.0,0.1,bernoulliNB
1,1.0,0.3,0.1,svm_poly
2,0.95,0.25,0.1,decision_tree
3,1.0,0.3,0.1,sgd_05
4,1.0,0.1,0.1,randomforest
5,1.0,0.3,0.1,balanced_bag
6,1.0,0.3,0.1,bag_id3
7,0.95,0.1,0.1,adaboost
8,1.0,0.3,0.1,xgboost
9,0.85,0.4,0.1,knn_n1
10,0.5,1.0,0.1,knn_n17
11,1.0,0.1,0.2,bernoulliNB
12,0.95,0.6,0.2,svm_poly
13,0.9,0.25,0.2,decision_tree
14,0.95,0.55,0.2,sgd_05
15,1.0,0.4,0.2,randomforest
16,0.95,0.6,0.2,balanced_bag
17,1.0,0.4,0.2,bag_id3
18,0.95,0.2,0.2,adaboost
19,1.0,0.4,0.2,xgboost
20,0.7,0.55,0.2,knn_n1
21,0.35,1.0,0.2,knn_n17
22,1.0,0.2,0.3,bernoulliNB
23,0.95,0.65,0.3,svm_poly
24,0.9,0.2,0.3,decision_tree
25,0.95,0.65,0.3,sgd_05
26,1.0,0.55,0.3,randomforest
27,1.0,0.6,0.3,balanced_bag
28,1.0,0.3,0.3,bag_id3
29,0.9,0.25,0.3,adaboost
30,0.95,0.7,0.3,xgboost
31,0.8,0.75,0.3,knn_n1
32,0.45,1.0,0.3,knn_n17
33,0.9,0.35,0.4,bernoulliNB
34,0.95,0.75,0.4,svm_poly
35,0.85,0.5,0.4,decision_tree
36,0.95,0.7,0.4,sgd_05
37,0.95,0.5,0.4,randomforest
38,0.95,0.6,0.4,balanced_bag
39,0.95,0.55,0.4,bag_id3
40,0.95,0.4,0.4,adaboost
41,0.9,0.65,0.4,xgboost
42,0.75,0.7,0.4,knn_n1
43,0.55,1.0,0.4,knn_n17
44,0.9,0.4,0.5,bernoulliNB
45,0.95,0.8,0.5,svm_poly
46,1.0,0.75,0.5,decision_tree
47,0.95,0.55,0.5,sgd_05
48,1.0,0.6,0.5,randomforest
49,0.95,0.6,0.5,balanced_bag
50,1.0,0.65,0.5,bag_id3
51,0.95,0.65,0.5,adaboost
52,0.95,0.6,0.5,xgboost
53,0.75,0.75,0.5,knn_n1
54,0.55,1.0,0.5,knn_n17
55,0.85,0.55,0.6,bernoulliNB
56,0.95,0.75,0.6,svm_poly
57,0.7,0.6,0.6,decision_tree
58,0.95,0.75,0.6,sgd_05
59,1.0,0.7,0.6,randomforest
60,1.0,0.7,0.6,balanced_bag
61,0.9,0.7,0.6,bag_id3
62,0.8,0.7,0.6,adaboost
63,0.9,0.7,0.6,xgboost
64,0.75,0.75,0.6,knn_n1
65,0.65,0.95,0.6,knn_n17
66,0.95,0.65,0.7,bernoulliNB
67,0.95,0.85,0.7,svm_poly
68,0.9,0.55,0.7,decision_tree
69,0.95,0.75,0.7,sgd_05
70,1.0,0.7,0.7,randomforest
71,1.0,0.6,0.7,balanced_bag
72,1.0,0.75,0.7,bag_id3
73,0.95,0.55,0.7,adaboost
74,0.95,0.7,0.7,xgboost
75,0.75,0.8,0.7,knn_n1
76,0.7,0.95,0.7,knn_n17
77,0.9,0.75,0.8,bernoulliNB
78,0.95,0.9,0.8,svm_poly
79,0.8,0.55,0.8,decision_tree
80,0.95,0.6,0.8,sgd_05
81,1.0,0.65,0.8,randomforest
82,0.9,0.6,0.8,balanced_bag
83,0.95,0.65,0.8,bag_id3
84,0.6,0.7,0.8,adaboost
85,0.95,0.65,0.8,xgboost
86,0.65,0.85,0.8,knn_n1
87,0.8,0.95,0.8,knn_n17
88,0.95,0.75,0.9,bernoulliNB
89,0.9,0.85,0.9,svm_poly
90,0.9,0.65,0.9,decision_tree
91,0.7,0.9,0.9,sgd_05
92,0.9,0.75,0.9,randomforest
93,0.95,0.55,0.9,balanced_bag
94,0.95,0.65,0.9,bag_id3
95,0.8,0.65,0.9,adaboost
96,0.9,0.75,0.9,xgboost
97,0.65,0.85,0.9,knn_n1
98,0.7,0.85,0.9,knn_n17
99,0.9,0.7,1.0,bernoulliNB
100,0.9,0.85,1.0,svm_poly
101,0.7,0.7,1.0,decision_tree
102,0.8,0.9,1.0,sgd_05
103,0.9,0.8,1.0,randomforest
104,0.9,0.7,1.0,balanced_bag
105,1.0,0.7,1.0,bag_id3
106,0.75,0.65,1.0,adaboost
107,0.85,0.75,1.0,xgboost
108,0.7,0.9,1.0,knn_n1
109,0.85,0.8,1.0,knn_n17
